OBJECTID,GlobalID,Uniq_Id,State_Code,District_C,Tehsil_Cod,Block_Code,Village_Co,LGD_Code,Built_Up_A,Village_Na,Area_Desc,Name,Owner_Name,Property_I,Property_C,Area_Sqm,Roof_type,No_Floors,Remarks,Adl_Info,SHAPE_Leng,SHAPE_Area,GP_Code,GP_Name
"57561",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,2.59631033273,"1","1",,,7.38282357590,3.37694748104,"63317",KALONDA
"57562",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,55.09009212180,"1","1",,,38.45089863260,71.65331231070,"63317",KALONDA
"57563",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,19.64399588120,"1","2",,,20.22865079550,25.55008447330,"63317",KALONDA
"57564",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,26.51696054370,"1","1",,,27.84919366210,34.48967394980,"63317",KALONDA
"57565",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,9.51370192979,"1","2",,,14.26289579670,12.37417457670,"63317",KALONDA
"57566",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,11.58376431860,"1","1",,,15.78474428750,15.06669327500,"63317",KALONDA
"57567",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,116.65277339300,"1","1",,,58.22056251120,151.72887947800,"63317",KALONDA
"57568",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,36.04377640790,"1","2",,,36.87537430450,46.88267592260,"63317",KALONDA
"57569",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,58.10296661160,"1","1",,,42.75603480080,75.57524157420,"63317",KALONDA
"57570",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,7.43732072366,"1","2",,,15.53194512510,9.67344649668,"63317",KALONDA
"57571",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,13.25493453250,"1","1",,,17.19095555340,17.24054512230,"63317",KALONDA
"57572",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.02874309230,"1","1",,,17.38738718460,18.24702211030,"63317",KALONDA
"57573",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.08469364840,"1","1",,,18.08891046230,18.31981007780,"63317",KALONDA
"57574",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,54.00913243320,"4","1",,,40.41776277100,70.24945769220,"63317",KALONDA
"57575",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,128.36135125200,"1","1",,,53.89215039590,166.96101148600,"63317",KALONDA
"57576",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.69377083110,"3","1",,,17.50274332040,19.11217447210,"63317",KALONDA
"57577",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,36.79760994400,"1","1",,,33.21406201430,47.86236507920,"63317",KALONDA
"57578",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,20.25127534670,"1","1",,,20.75367834070,26.34039581320,"63317",KALONDA
"57579",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,28.02364437260,"1","1",,,24.14180570610,36.44976615620,"63317",KALONDA
"57580",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,7.79503812494,"1","1",,,12.79653291520,10.13884968170,"63317",KALONDA
"57581",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,14.59239430860,"1","1",,,17.91211021030,18.98005122860,"63317",KALONDA
"57582",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,105.84913930600,"1","1",,,56.67268007850,137.67683929700,"63317",KALONDA
"57583",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,6.37375467685,"1","1",,,14.08841268490,8.29015170032,"63317",KALONDA
"57584",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,13.72476037630,"1","1",,,20.29601254620,17.85139368150,"63317",KALONDA
"57585",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,5.87742727845,"1","1",,,11.11217706910,7.64458129831,"63317",KALONDA
"57586",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,1.91933210550,"1","1",,,7.37529297486,2.49641601375,"63317",KALONDA
"57587",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,10.73164143130,"3","1",,,16.70396527100,13.95797336640,"63317",KALONDA
"57588",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,72.22364601590,"1","1",,,42.18521061680,93.93804414840,"63317",KALONDA
"57589",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,21.25107186500,"1","1",,,26.20766365530,27.64031578550,"63317",KALONDA
"57590",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,64.70736783410,"1","2",,,47.80147084160,84.16063264660,"63317",KALONDA
"57591",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,24.97626123120,"1","1",,,23.44392558190,32.48525495380,"63317",KALONDA
"57592",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,19.82095975740,"3","1",,,20.42191652630,25.77941301510,"63317",KALONDA
"57593",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,108.82228604700,"1","2",,,50.94188331540,141.53865244300,"63317",KALONDA
"57594",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,40.36554921400,"1","1",,,28.87346796530,52.50152617450,"63317",KALONDA
"57595",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,53.33867038220,"1","1",,,70.64954707440,69.37494246730,"63317",KALONDA
"57596",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,45.23396286440,"1","1",,,35.58739161260,58.83358520250,"63317",KALONDA
"57597",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,15.07691457050,"1","2",,,17.75896248590,19.60978716070,"63317",KALONDA
"57598",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,23.74054919750,"1","2",,,22.40692858440,30.87813472010,"63317",KALONDA
"57599",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,10.68296154900,"4","1",,,16.95523918880,13.89499078770,"63317",KALONDA
"57600",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,18.44267245500,"1","1",,,20.98801762400,23.98768037060,"63317",KALONDA
"57601",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,205.16045255400,"1","1",,,68.39408566190,266.85665434000,"63317",KALONDA
"57602",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,16.97462670130,"1","1",,,21.58098307380,22.07940823240,"63317",KALONDA
"57603",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,30.81294798170,"1","1",,,26.69403674620,40.07937891420,"63317",KALONDA
"57604",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,26.03662151830,"1","2",,,24.03342749070,33.86669875190,"63317",KALONDA
"57605",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,33.84256059640,"1","1",,,28.71549674990,44.02007495960,"63317",KALONDA
"57606",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,4.99027762411,"1","1",,,10.25037530580,6.49102543063,"63317",KALONDA
"57607",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,87.81382118320,"1","1",,,43.88660956070,114.22254661600,"63317",KALONDA
"57608",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,17.49137984140,"1","1",,,22.09518161660,22.75160715030,"63317",KALONDA
"57609",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,3.85283149372,"1","1",,,10.01993071420,5.01148700927,"63317",KALONDA
"57610",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,4.00270174937,"1","1",,,12.67447738690,5.20642486921,"63317",KALONDA
"57611",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,38.62719073520,"1","1",,,29.35682847090,50.24356325110,"63317",KALONDA
"57612",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,3.60115384699,"1","1",,,9.75376157827,4.68412737908,"63317",KALONDA
"57613",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,52.17440237850,"1","1",,,37.21412215430,67.86460418460,"63317",KALONDA
"57614",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,11.15066696850,"1","1",,,16.93744572380,14.50394828470,"63317",KALONDA
"57615",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,41.19320708020,"1","1",,,37.08461147670,53.58116301420,"63317",KALONDA
"57616",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,23.27433261980,"4","1",,,23.42052117510,30.27361951430,"63317",KALONDA
"57617",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,12.88254304430,"1","1",,,16.44365885950,16.75643993710,"63317",KALONDA
"57618",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,77.46328677920,"1","1",,,53.14007364530,100.74935281100,"63317",KALONDA
"57619",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,7.77037833097,"3","1",,,13.55539134970,10.10548156210,"63317",KALONDA
"57620",{00000000-0000-0000-0000-000000000000},,"9","144","742","1126","120196","120196","1",Kalonda,,,,,,33.12365788910,"1","1",,,35.42604838010,43.07796554350,"63317",KALONDA
